NAME OF DATA ELEMENT,dev-category,developer-friendly name,my_classification,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
Percentage of undergraduates who receive a Pell Grant,aid,pell_grant_rate,pell_grant_rate,float,PCTPELL,,,IPEDS,"Shown/used on consumer website;    The proportion of undergraduates who received a Pell grant in the academic year, calculated from the IPEDS Student Financial Aid component. This metric is calculated by IPEDS as the quotient of the number of Pell grant recipients divided by the count of all undergraduates for either a fall enrollment cohort (for institutions that primarily follow an academic year calendar system) or a full-year enrollment cohort (for institutions that primarily follow a continuous enrollment or program-based calendar system). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2008-09 academic year."
"First-time, full-time student retention rate at four-year institutions",student,retention_rate.four_year.full_time,retention_rate.four_year.full_time,float,RET_FT4,,,IPEDS,"Shown/used on consumer website;    The proportion of full-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year that are enrolled in the fall term of the current academic year divided by the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. For 4-year institutions, this metric is limited to full-time, first-time, bachelor's or quivalent degree-seeking undergraduate students. For less-than-4-year institutions, this metric applies to all full-time, first-time, degree/certificate-seeking undergraduate students. This metric is not available prior to the 2004-05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
"First-time, full-time student retention rate at less-than-four-year institutions",student,retention_rate.lt_four_year.full_time,retention_rate_less4_year.full_time,float,RET_FTL4,,,IPEDS,Shown/used on consumer website;    ibid
"First-time, part-time student retention rate at four-year institutions",student,retention_rate.four_year.part_time,retention_rate.four_year.part_time,float,RET_PT4,,,IPEDS,"Shown/used on consumer website;    The proportion of part-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year that are enrolled in the fall term of the current academic year divided by the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. For 4-year institutions, this metric is limited to part-time, first-time, bachelor's or quivalent degree-seeking undergraduate students. For less-than-4-year institutions, this metric applies to all part-time, first-time, degree/certificate-seeking undergraduate students. This metric is not available prior to the 2004-05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
"First-time, part-time student retention rate at less-than-four-year institutions",student,retention_rate.lt_four_year.part_time,retention_rate.less4_year.part_time,float,RET_PTL4,,,IPEDS,Shown/used on consumer website;    ibid
Percent of all undergraduate students receiving a federal student loan,aid,federal_loan_rate,federal_loan_rate,float,PCTFLOAN,,,IPEDS,"Shown/used on consumer website;    The proportion of undergraduates who received a federal loan in the academic year, calculated from values from the IPEDS Student Financial Aid component. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2009-10 academic year."
Average family income of dependent students in real 2015 dollars.,student,avg_dependent_income.2014dollars,avg_family_income_dependent,integer,DEP_INC_AVG,,,NSLDS,
Average family income of independent students in real 2015 dollars.,student,avg_independent_income.2014dollars,avg_family_income_independent,integer,IND_INC_AVG,,,NSLDS,
The median original amount of the loan principal upon entering repayment,aid,loan_principal,loan_principal,float,DEBT_MDN,,,NSLDS,
"Poverty rate, via Census data",student,demographics.poverty_rate,zip_poverty_rate,float,POVERTY_RATE,,,Treasury,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
"Unemployment rate, via Census data",student,demographics.unemployment,zip_unemployment,float,UNEMP_RATE,,,Treasury,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
Log of the median household income,student,demographics.median_hh_income_log,zip_median_hh_income_log,integer,LN_MEDIAN_HH_INC,,,Treasury,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
Number of students not working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.not_working_not_enrolled.overall,unemployment_10years,integer,COUNT_NWNE_P10,,,Treasury,
Median earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.median,median_earnings_10years,integer,MD_EARN_WNE_P10,,,Treasury,Shown/used on consumer website.
Total share of enrollment of undergraduate degree-seeking students who are men,student,demographics.men,demographics.men,float,UGDS_MEN,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are women,student,demographics.women,demographics.women,float,UGDS_WOMEN,,,IPEDS,
Carnegie Classification -- undergraduate profile,school,carnegie_undergrad,carnegie_undergrad,integer,CCUGPROF,-2,Not applicable,IPEDS,
Carnegie Classification -- size and setting,school,carnegie_size_setting,carnegie_size_setting,integer,CCSIZSET,-2,Not applicable,IPEDS,
Flag for Historically Black College and University,school,minority_serving.historically_black,minority_serving.historically_black,integer,HBCU,0,No,ED,Shown/used on consumer website.
Flag for predominantly black institution,school,minority_serving.predominantly_black,minority_serving.predominantly_black,integer,PBI,0,No,OPE,Shown/used on consumer website.
Flag for Alaska Native Native Hawaiian serving institution,school,minority_serving.annh,minority_serving.annh,integer,ANNHI,0,No,OPE,Shown/used on consumer website.
Flag for tribal college and university,school,minority_serving.tribal,minority_serving.tribal,integer,TRIBAL,0,No,OPE,Shown/used on consumer website.
Flag for Asian American Native American Pacific Islander-serving institution,school,minority_serving.aanipi,minority_serving.aanipi,integer,AANAPII,0,No,OPE,Shown/used on consumer website.
Flag for Hispanic-serving institution,school,minority_serving.hispanic,minority_serving.hispanic,integer,HSI,0,No,OPE,Shown/used on consumer website.
Flag for Native American non-tribal institution,school,minority_serving.nant,minority_serving.nant,integer,NANTI,0,No,OPE,Shown/used on consumer website.
Flag for men-only college,school,men_only,men_only,integer,MENONLY,0,No,IPEDS,Shown/used on consumer website.
Flag for women-only college,school,women_only,women_only,integer,WOMENONLY,0,No,IPEDS,Shown/used on consumer website.
Religous affiliation of the institution,school,religious_affiliation,religious_affiliation,integer,RELAFFIL,-1,Not reported,IPEDS,Shown/used on consumer website.
Admission rate,admissions,admission_rate.overall,admission_rate.overall,float,ADM_RATE,,,IPEDS,
