NAME OF DATA ELEMENT,dev-category,developer-friendly name,name,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
Midpoint of SAT scores at the institution (writing),admissions,sat_scores.midpoint.writing,sat_scores_midpoint_writing,float,SATWRMID,,,IPEDS,Shown/used on consumer website.
Average SAT equivalent score of students admitted,admissions,sat_scores.average.overall,sat_scores,float,SAT_AVG,,,IPEDS,Shown/used on consumer website.
Total share of enrollment of undergraduate degree-seeking students who are white,student,demographics.race_ethnicity.white,proportion_white_students,float,UGDS_WHITE,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are black,student,demographics.race_ethnicity.black,proportion_of_black_students,float,UGDS_BLACK,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are Hispanic,student,demographics.race_ethnicity.hispanic,proportion_of_hispanic_students,float,UGDS_HISP,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are Asian,student,demographics.race_ethnicity.asian,proportion_of_asian_students,float,UGDS_ASIAN,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,student,demographics.race_ethnicity.aian,proportion_of_native_american_students,float,UGDS_AIAN,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander,student,demographics.race_ethnicity.nhpi,proportion_of_pacific_islander_students,float,UGDS_NHPI,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are two or more races,student,demographics.race_ethnicity.two_or_more,proportion_of_mixed_race_students,float,UGDS_2MOR,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens,student,demographics.race_ethnicity.non_resident_alien,proportion_of_international_students,float,UGDS_NRA,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
Total share of enrollment of undergraduate degree-seeking students whose race is unknown,student,demographics.race_ethnicity.unknown,proportion_of_unknown_race_students,float,UGDS_UNKN,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
"Share of undergraduate, degree-/certificate-seeking students who are part-time",student,part_time_share,proportion_of_part_time_students,float,PPTUG_EF,,,IPEDS,"Shown/used on consumer website;    The proportion of degree/certificate-seeking undergraduates enrolled part time in the fall term, calculated from the IPEDS Fall Enrollment component. This metric does not apply during 2000-01, when degree/certificate-seeking status was not collected. It is calculated as the number of part-time, degree/certificate-seeking undergraduates divided by the total number of degree/certificate-seeking undergraduates. It includes non-first-time undergraduates. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
Average cost of attendance (academic year institutions),cost,attendance.academic_year,cost_per_academic_year,integer,COSTT4_A,,,IPEDS,"The average annual total cost of attendance, including tuition and fees, books and supplies, and living expenses for all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. It is calculated from values in the IPEDS Institutional Characteristics and Student Financial Aid components. Separate metrics are calculated for academic-year institutions and program-year institutions. For academic-year institutions, average cost of attendance represents an average of all programs and includes only full-time, first-time, degree/certificate-seeking undergraduates who first enrolled in the fall term. For non-academic-year institutions (program or continuous enrollment), average cost of attendance represents the program with the largest enrollment at the institution, and it includes full-time, first-time, degree/certificate-seeking undergraduates who first enrolled at any time during the academic year. For programs less than 1 year in length (see LProgram), this represents the cost for the full program."
Average cost of attendance (program-year institutions),cost,attendance.program_year,cost_per_program_year,integer,COSTT4_P,,,IPEDS,ibid
In-state tuition and fees,cost,tuition.in_state,tuition_in_state,integer,TUITIONFEE_IN,,,IPEDS,
Out-of-state tuition and fees,cost,tuition.out_of_state,tuition_out_of_state,integer,TUITIONFEE_OUT,,,IPEDS,
Tuition and fees for program-year institutions,cost,tuition.program_year,tuition_program_year,integer,TUITIONFEE_PROG,,,IPEDS,
Net tuition revenue per full-time equivalent student,school,tuition_revenue_per_fte,tuition_revenue_per_fte,integer,TUITFTE,,,IPEDS,Net tuition revenue (tuition revenue minus discounts and allowances) divided by the number of FTE students (undergraduates and graduate students) (http://nces.ed.gov/ipeds/glossary/index.asp?id=854). Net tuition revenue is included in the IPEDS Finance component and FTE enrollment is included in the IPEDS 12-Month Enrollment component. This metric includes graduate students.
Instructional expenditures per full-time equivalent student,school,instructional_expenditure_per_students,instructional_expenditure_per_fte,integer,INEXPFTE,,,IPEDS,Instructional expenditures divided by the number of FTE students (undergraduates and graduate students) (http://nces.ed.gov/ipeds/glossary/index.asp?id=854). Instructional expenditures are included in the IPEDS Finance component and FTE enrollment is included in the IPEDS 12-Month Enrollment component. This metric includes graduate students.
Average faculty salary,school,faculty_salary,faculty_salary,integer,AVGFACSAL,,,IPEDS,"Average faculty salary per month, calculated from the IPEDS Human Resources component. This metric is calculated as the total salary outlays divided by the number of months worked for all full-time nonmedical instructional staff. Prior to the 2011-12 academic year, when months worked were reported in groups, the value for 9-10 months is estimated as 9.5 months and the value for 11-12 months is estimated as 11.5 months. Values prior to the 2003-04 academic year are limited to degree-granting institutions for consistency with values in subsequent academic years."
Proportion of faculty that is full-time,school,prop_of_fulltime_faculty,ft_faculty_rate,float,PFTFAC,,,IPEDS,"Proportion of faculty that are employed full time, calculated from the IPEDS Human Resources component. This metric is calculated as the number of full-time nonmedical faculty divided by the total number of nonmedical faculty. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
Percentage of undergraduates who receive a Pell Grant,aid,prop_pell_grant_students,pell_grant_rate,float,PCTPELL,,,IPEDS,"Shown/used on consumer website;    The proportion of undergraduates who received a Pell grant in the academic year, calculated from the IPEDS Student Financial Aid component. This metric is calculated by IPEDS as the quotient of the number of Pell grant recipients divided by the count of all undergraduates for either a fall enrollment cohort (for institutions that primarily follow an academic year calendar system) or a full-year enrollment cohort (for institutions that primarily follow a continuous enrollment or program-based calendar system). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2008-09 academic year."
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion), pooled for two year rolling averages",completion,completion_rate_4yr_150nt_pooled,completion_rate_4yr,float,C150_4_POOLED,,,IPEDS,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion), pooled for two year rolling averages",completion,completion_rate_less_than_4yr_150nt_pooled,completion_rate_less_than_4yr,float,C150_L4_POOLED,,,IPEDS,
"First-time, full-time student retention rate at four-year institutions",student,retention_rate.four_year.full_time,retention_rate_4yr,float,RET_FT4,,,IPEDS,"Shown/used on consumer website;    The proportion of full-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year that are enrolled in the fall term of the current academic year divided by the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. For 4-year institutions, this metric is limited to full-time, first-time, bachelor's or quivalent degree-seeking undergraduate students. For less-than-4-year institutions, this metric applies to all full-time, first-time, degree/certificate-seeking undergraduate students. This metric is not available prior to the 2004-05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
"First-time, full-time student retention rate at less-than-four-year institutions",student,retention_rate.lt_four_year.full_time,retention_rate_less_than_4yr,float,RET_FTL4,,,IPEDS,Shown/used on consumer website;    ibid
"First-time, part-time student retention rate at four-year institutions",student,retention_rate.four_year.part_time,retention_rate_four_year_part_time,float,RET_PT4,,,IPEDS,"Shown/used on consumer website;    The proportion of part-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year that are enrolled in the fall term of the current academic year divided by the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. For 4-year institutions, this metric is limited to part-time, first-time, bachelor's or quivalent degree-seeking undergraduate students. For less-than-4-year institutions, this metric applies to all part-time, first-time, degree/certificate-seeking undergraduate students. This metric is not available prior to the 2004-05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
"First-time, part-time student retention rate at less-than-four-year institutions",student,retention_rate.lt_four_year.part_time,retention_rate_less_than_four_year_part_time,float,RET_PTL4,,,IPEDS,Shown/used on consumer website;    ibid
Percent of all undergraduate students receiving a federal student loan,aid,federal_loan_rate,federal_loan_rate,float,PCTFLOAN,,,IPEDS,"Shown/used on consumer website;    The proportion of undergraduates who received a federal loan in the academic year, calculated from values from the IPEDS Student Financial Aid component. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2009-10 academic year."
Three-year cohort default rate,repayment,3_yr_default_rate,default_rate,float,CDR3,,,FSA,"A 3-year cohort default rate is the percentage of a school's borrowers who enter repayment on certain Federal Family Education Loan (FFEL) Program or William D. Ford Federal Direct Loan (Direct Loan) Program loans during a particular federal fiscal year (FY), October 1 to September 30, and default or meet other specified conditions prior to the end of the second following fiscal year. Please refer to the Cohort Default Rate Guide for a more in-depth description of cohort default rates and how the rates are calculated."
"Fraction of repayment cohort who are not in default, and with loan balances that have declined three years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)",repayment,repayment_cohort.3_year_declining_balance,repayment_cohort_3_year_declining_balance,float,RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for completers,repayment,3_yr_repayment.completers_rate,repayment_completers_rate,float,COMPL_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for non-completers,repayment,3_yr_repayment.noncompleters_rate,repayment_noncompleters_rate,float,NONCOM_RPY_3YR_RT,,,NSLDS,
"Three-year repayment rate by family income ($0-30,000)",repayment,3_yr_repayment.income.0_30000,repayment_income_0_30000,float,LO_INC_RPY_3YR_RT,,,NSLDS,
"Three-year repayment rate by family income ($30,000-75,000)",repayment,3_yr_repayment.income.30000_75000,repayment_income_30000_75000,float,MD_INC_RPY_3YR_RT,,,NSLDS,
"Three-year repayment rate by family income ($75,000+)",repayment,3_yr_repayment.income.greater_than_75000,repayment_income_greater_than_75000,float,HI_INC_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for dependent students,repayment,3_yr_repayment.dependent_students_rate,repayment_dependent_students_rate,float,DEP_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for independent students,repayment,3_yr_repayment.independent_students_rate,repayment_independent_students_rate,float,IND_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for students who received a Pell grant while at the school,repayment,3_yr_repayment.pell_grant_rate,repayment_pell_grant_rate,float,PELL_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for students who never received a Pell grant while at school,repayment,3_yr_repayment.no_pell_grant_rate,repayment_no_pell_grant_rate,float,NOPELL_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for females,repayment,3_yr_repayment.female_students_rate,repayment_female_students_rate,float,FEMALE_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for males,repayment,3_yr_repayment.male_students_rate,repayment_male_students_rate,float,MALE_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for first-generation students,repayment,3_yr_repayment.first_generation_students_rate,repayment_first_generation_students_rate,float,FIRSTGEN_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for students who are not first-generation,repayment,3_yr_repayment.non_first_generation_students_rate,repayment_non_first_generation_students_rate,float,NOTFIRSTGEN_RPY_3YR_RT,,,NSLDS,
"Percentage of students who are financially independent and have family incomes between $0-30,000",student,share_independent_lowincome.0_30000,prop_independent_lowincome_0_30000,float,IND_INC_PCT_LO,,,NSLDS,
"Percentage of students who are financially dependent and have family incomes between $0-30,000",student,share_dependent_lowincome.0_300000,prop_dependent_lowincome_0_300000,float,DEP_INC_PCT_LO,,,NSLDS,
Percentage first-generation students,student,share_firstgeneration,prop_firstgeneration,float,PAR_ED_PCT_1STGEN,,,NSLDS,
"Aided students with family incomes between $30,001-$48,000 in nominal dollars",student,share_middleincome.30001_48000,prop_middleincome_30001_48000,float,INC_PCT_M1,,,NSLDS,
"Aided students with family incomes between $48,001-$75,000 in nominal dollars",student,share_middleincome.48001_75000,prop_middleincome_48001_75000,float,INC_PCT_M2,,,NSLDS,
"Aided students with family incomes between $75,001-$110,000 in nominal dollars",student,share_highincome.75001_110000,prop_highincome_75001_110000,float,INC_PCT_H1,,,NSLDS,
"Aided students with family incomes between $110,001+ in nominal dollars",student,share_highincome.110001plus,prop_highincome_110001plus,float,INC_PCT_H2,,,NSLDS,
"Dependent students with family incomes between $30,001-$48,000 in nominal dollars",student,share_dependent_middleincome.300001_48000,prop_dependent_middleincome_300001_48000,float,DEP_INC_PCT_M1,,,NSLDS,
"Dependent students with family incomes between $48,001-$75,000 in nominal dollars",student,share_dependent_middleincome.48001_75000,prop_dependent_middleincome_48001_75000,float,DEP_INC_PCT_M2,,,NSLDS,
"Dependent students with family incomes between $75,001-$110,000 in nominal dollars",student,share_dependent_highincome.75001_110000,prop_dependent_highincome_75001_110000,float,DEP_INC_PCT_H1,,,NSLDS,
"Dependent students with family incomes between $110,001+ in nominal dollars",student,share_dependent_highincome.110001plus,prop_dependent_highincome_110001plus,float,DEP_INC_PCT_H2,,,NSLDS,
"Independent students with family incomes between $30,001-$48,000 in nominal dollars",student,share_independent_middleincome.30001_48000,prop_independent_middleincome_30001_48000,float,IND_INC_PCT_M1,,,NSLDS,
"Independent students with family incomes between $48,001-$75,000 in nominal dollars",student,share_independent_middleincome.48001_75000,prop_independent_middleincome_48001_75000,float,IND_INC_PCT_M2,,,NSLDS,
"Independent students with family incomes between $75,001-$110,000 in nominal dollars",student,share_independent_highincome.75001_110000,prop_independent_highincome_75001_110000,float,IND_INC_PCT_H1,,,NSLDS,
"Independent students with family incomes between $110,001+ in nominal dollars",student,share_independent_highincome.110001plus,prop_independent_highincome_110001plus,float,IND_INC_PCT_H2,,,NSLDS,
Percent of students whose parents' highest educational level is middle school,student,share_firstgeneration_parents.middleschool,prop_firstgeneration_parents_middleschool,float,PAR_ED_PCT_MS,,,NSLDS,
Percent of students whose parents' highest educational level is high school,student,share_firstgeneration_parents.highschool,prop_firstgeneration_parents_highschool,float,PAR_ED_PCT_HS,,,NSLDS,
Percent of students whose parents' highest educational level was is some form of postsecondary education,student,share_firstgeneration_parents.somecollege,prop_firstgeneration_parents_somecollege,float,PAR_ED_PCT_PS,,,NSLDS,
Average family income of dependent students in real 2015 dollars.,student,avg_dependent_income.2014dollars,avg_family_income,integer,DEP_INC_AVG,,,NSLDS,
Average family income of independent students in real 2015 dollars.,student,avg_independent_income.2014dollars,avg_independent_income,integer,IND_INC_AVG,,,NSLDS,
The median original amount of the loan principal upon entering repayment,aid,loan_principal,loan_principal,float,DEBT_MDN,,,NSLDS,
The median debt for students who have completed,aid,median_debt.completers.overall,median_debt_completers,float,GRAD_DEBT_MDN,,,NSLDS,
The median debt for students who have not completed,aid,median_debt.noncompleters,median_debt_noncompleters,float,WDRAW_DEBT_MDN,,,NSLDS,
Median loan debt of completers in monthly payments (10-year amortization plan),aid,median_debt.completers.monthly_payments,median_debt_completers_monthly,float,GRAD_DEBT_MDN10YR,,,NSLDS,
Number of students in the cumulative loan debt cohort,aid,cumulative_debt.number,cumulative_debt_number,integer,CUML_DEBT_N,,,NSLDS,
Share of students who received a federal loan while in school,aid,students_with_any_loan,prop_students_with_any_loan,float,LOAN_EVER,,,NSLDS,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
Share of students who received a Pell Grant while in school,student,students_with_pell_grant,prop_students_with_pell_grant,float,PELL_EVER,,,NSLDS,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
Percent of students over 23 at entry,student,demographics.over_23_at_entry,prop_over_23_at_entry,float,AGEGE24,,,NSLDS,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
Share of female students,student,demographics.female_share,prop_female,float,FEMALE,,,NSLDS,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
Share of married students,student,demographics.married,prop_married,float,MARRIED,,,NSLDS,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
Share of dependent students,student,demographics.dependent,prop_dependent,float,DEPENDENT,,,NSLDS,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
Share of veteran students,student,demographics.veteran,prop_veteran,float,VETERAN,,,NSLDS,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
Share of first-generation students,student,demographics.first_generation,prop_first_generation,float,FIRST_GEN,,,NSLDS,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
"Percent of the population from students' zip codes that is White, via Census data",student,demographics.share_white.home_ZIP,prop_white_homes_in_neighborhood,float,PCT_WHITE,,,Treasury,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
"Percent of the population from students' zip codes that is Black, via Census data",student,demographics.share_black.home_ZIP,prop_black_homes_in_neighborhood,float,PCT_BLACK,,,Treasury,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
"Percent of the population from students' zip codes that is Asian, via Census data",student,demographics.share_asian.home_ZIP,prop_asian_homes_in_neighborhood,float,PCT_ASIAN,,,Treasury,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
"Percent of the population from students' zip codes that is Hispanic, via Census data",student,demographics.share_hispanic.home_ZIP,prop_hispanic_homes_in_neighborhood,float,PCT_HISPANIC,,,Treasury,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
"Percent of the population from students' zip codes with a bachelor's degree over the age 25, via Census data",student,demographics.share_bachelors_degree_age25.home_ZIP,prop_bachelors_degree_homes_in_neighborhood,float,PCT_BA,,,Treasury,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
"Percent of the population from students' zip codes over 25 with a professional degree, via Census data",student,demographics.share_professional_degree_age25.home_ZIP,prop_professional_degree_homes_in_neighborhood,float,PCT_GRAD_PROF,,,Treasury,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
"Percent of the population from students' zip codes that was born in the US, via Census data",student,demographics.share_born_US.home_ZIP,prop_born_US_homes_in_neighborhood,float,PCT_BORN_US,,,Treasury,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
"Poverty rate, via Census data",student,demographics.poverty_rate,prop_poverty_rate,float,POVERTY_RATE,,,Treasury,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
"Unemployment rate, via Census data",student,demographics.unemployment,prop_unemployment,float,UNEMP_RATE,,,Treasury,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
Log of the median household income,student,demographics.median_hh_income_log,median_hh_income_in_neighborhood,integer,LN_MEDIAN_HH_INC,,,Treasury,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
Number of students not working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.not_working_not_enrolled.overall,number_unemployed,integer,COUNT_NWNE_P10,,,Treasury,
Number of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.working_not_enrolled.overall,number_employed,integer,COUNT_WNE_P10,,,Treasury,
Mean earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.working_not_enrolled.mean_earnings,mean_earnings,integer,MN_EARN_WNE_P10,,,Treasury,
Median earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.median,median_earnings,integer,MD_EARN_WNE_P10,,,Treasury,Shown/used on consumer website.
"Median debt, suppressed for n=30",aid,median_debt_suppressed.overall,median_debt,float,DEBT_MDN_SUPP,,,NSLDS,
"Median debt of completers, suppressed for n=30",aid,median_debt_suppressed.completers.overall,median_debt_completers,float,GRAD_DEBT_MDN_SUPP,,,NSLDS,Shown/used on consumer website.
"Median debt of completers expressed in 10-year monthly payments, suppressed for n=30",aid,median_debt_suppressed.completers.monthly_payments,median_debt_completers_monthly,float,GRAD_DEBT_MDN10YR_SUPP,,,NSLDS,Shown/used on consumer website.
Level of institution,school,institutional_characteristics.level,institutional_characteristics_level,integer,ICLEVEL,1,4-year,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are men,student,demographics.men,prop_men,float,UGDS_MEN,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are women,student,demographics.women,prop_women,float,UGDS_WOMEN,,,IPEDS,
Number of non-degree-seeking undergraduate students,student,undergrads_non_degree_seeking,prop_non_degree_undergrads,integer,UGNONDS,,,IPEDS,
Number of graduate students,student,grad_students,prop_grad_students,integer,GRADS,,,IPEDS,
Carnegie Classification -- undergraduate profile,school,carnegie_undergrad,carnegie_undergrad,integer,CCUGPROF,-2,Not applicable,IPEDS,
Carnegie Classification -- size and setting,school,carnegie_size_setting,carnegie_size_setting,integer,CCSIZSET,-2,Not applicable,IPEDS,
Flag for men-only college,school,men_only,men_only,integer,MENONLY,0,No,IPEDS,Shown/used on consumer website.
Flag for women-only college,school,women_only,women_only,integer,WOMENONLY,0,No,IPEDS,Shown/used on consumer website.
